file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power
neuron_057,GPi,L,BOR,86.96112699925857,2.9079689786580456,0.5483870967741935,"(0.17999999999999972, 0.16399999999999992, 0.1363333333333335, 0.15763636363636377)","(-16.10875229549317, -15.414419530757238, -13.772918888943435, -15.126843374210356)"
neuron_058,GPi,R,BOR,85.35284255448866,4.3016289517122885,0.6483516483516484,"(0.132, 0.0, 0.1579999999999997, 0.16066666666666674)","(-12.384476288677641, -12.942492376806506, -13.423030413136445, -10.938692466566968)"
neuron_059,GPi,R,BOR,59.058551202574805,4.470085587037363,0.5523809523809524,"(0.1665000000000001, 0.1979999999999995, 0.12399999999999967, 0.13840000000000036)","(-11.62394124380313, -13.596073264714377, -15.104138339834495, -13.864304618935464)"
neuron_060,GPi,L,BOR,84.16494475999866,3.0999180670290003,0.5945945945945946,"(0.1279999999999999, 0.14533333333333417, 0.15784615384615355, 0.14999999999999997)","(-14.306176531092913, -14.652876739115088, -13.729067075825292, -13.269320644177043)"
neuron_061,GPi,L,BOR,71.76106217341862,3.324667543995198,0.6348547717842323,"(0.19266666666666632, 0.1293333333333333, 0.1713846153846156, 0.16041176470588217)","(-14.257569754650032, -16.377564736341263, -10.204750339019675, -14.049368316635869)"
neuron_062,GPi,L,BOR,70.71677978735926,3.5444790726221465,0.6774193548387096,"(0.1680000000000002, 0.24666666666666684, 0.14090909090909098, 0.1955000000000001)","(-13.125812264136648, -13.319871347593317, -12.949120651676813, -12.911437070933495)"
neuron_063,STN,R,SNr,90.93581989247312,2.7065241381944265,0.36036036036036034,"(0.23399999999999999, 0.42199999999999993, 0.1614285714285715, 0.1353333333333333)","(-13.00725773832369, -12.47632645622421, -11.461661766687248, -15.259500176117719)"
neuron_064,STN,L,SNr,86.28479462748496,1.5969192886908274,0.23529411764705882,"(0.18320000000000008, 0.16699999999999982, 0.1524000000000001, 0.1440000000000003)","(-13.050138970632572, -15.349737741959954, -15.247022055895332, -14.91098442501951)"
neuron_065,STN,R,SNr,87.18431168999693,2.4662603044499085,0.3162393162393162,"(0.0, 0.1299999999999999, 0.16800000000000004, 0.11599999999999966)","(-12.716964149289486, -14.083426796062003, -12.013705165301417, -10.584485608806876)"
neuron_066,STN,L,SNr,88.90173462410482,2.556990949880134,0.39090909090909093,"(0.1669999999999996, 0.1839999999999998, 0.14747826086956534, 0.14716666666666695)","(-13.675814143900846, -15.350532887467402, -13.263250477804572, -13.801376832145873)"
neuron_067,STN,R,SNr,98.93705654697916,2.9363113362966686,0.4479166666666667,"(0.0, 0.0, 0.10399999999999965, 0.12880000000000003)","(-12.254075828033638, -15.588442976296605, -12.380553179911836, -13.767540575863173)"
neuron_068,STN,L,SNr,71.48802491676513,2.4680982310234056,0.3642611683848797,"(0.0, 0.1499999999999999, 0.0, 0.14000000000000012)","(-12.245499535371664, -14.119252370575428, -15.701941270403827, -14.623729944928492)"
neuron_069,GPi,R,HFD,90.15373584428184,2.9102309537286897,0.4411764705882353,"(0.14100000000000001, 0.0, 0.11133333333333327, 0.17833333333333368)","(-13.24068980823071, -13.5565655611729, -13.165764950669072, -11.896777797108626)"
neuron_070,STN,L,SNr,115.3017290683895,1.8831836864320373,0.2604166666666667,"(0.23099999999999987, 0.15800000000000036, 0.14874999999999997, 0.13375000000000004)","(-13.319895436789654, -15.297402490384904, -15.591102998203663, -14.199371285173186)"
neuron_071,STN,R,SNr,94.63948227478383,2.128709639836202,0.2727272727272727,"(0.2031999999999999, 0.0, 0.1598181818181818, 0.17649999999999996)","(-11.721218679186427, -13.86359173488875, -11.554851088527041, -12.697812194289241)"
neuron_072,GPi,R,HFD,114.14351987785544,2.1416672794224185,0.4117647058823529,"(0.0, 0.13000000000000017, 0.16166666666666663, 0.12733333333333316)","(-13.247234891080064, -14.8778801799171, -12.999433108598257, -13.885858472348875)"
