file_key,target,hemisphere,neuron,firing_rate,burst_index,cv,burst_durations,spike_power,lfp_theta_power,lfp_alpha_power,lfp_lowbeta_power,lfp_highbeta_power
neuron_059,GPi,R,BOR,59.058551202574805,4.470085587037363,0.5523809523809524,"(0.1665000000000001, 0.1979999999999995, 0.12399999999999967, 0.13840000000000036)","(-11.62394124380313, -13.596073264714377, -15.104138339834495, -13.864304618935464)",-23.45283398482748,-17.256876209914502,-9.051980730459574,-5.549895752865383
neuron_060,GPi,L,BOR,84.16494475999866,3.0999180670290003,0.5945945945945946,"(0.1279999999999999, 0.14533333333333417, 0.15784615384615355, 0.14999999999999997)","(-14.306176531092913, -14.652876739115088, -13.729067075825292, -13.269320644177043)",-4.077470915621592,-3.7478996735229417,0.3259840828845698,0.49076355644433745
neuron_061,GPi,L,BOR,71.76106217341862,3.324667543995198,0.6348547717842323,"(0.19266666666666632, 0.1293333333333333, 0.1713846153846156, 0.16041176470588217)","(-14.257569754650032, -16.377564736341263, -10.204750339019675, -14.049368316635869)",-5.517935938984064,-5.153975014598849,-0.6061219345291429,-0.9866223143932955
neuron_062,GPi,L,BOR,70.71677978735926,3.5444790726221465,0.6774193548387096,"(0.1680000000000002, 0.24666666666666684, 0.14090909090909098, 0.1955000000000001)","(-13.125812264136648, -13.319871347593317, -12.949120651676813, -12.911437070933495)",-3.804317706426004,-4.482442115233868,-0.8809737685592846,1.06790539028456
neuron_063,STN,R,SNr,90.93581989247312,2.7065241381944265,0.36036036036036034,"(0.23399999999999999, 0.42199999999999993, 0.1614285714285715, 0.1353333333333333)","(-13.00725773832369, -12.47632645622421, -11.461661766687248, -15.259500176117719)",13.824698892829158,11.108096963972304,6.598292345712384,3.1243970884670897
neuron_064,STN,L,SNr,86.28479462748496,1.5969192886908274,0.23529411764705882,"(0.18320000000000008, 0.16699999999999982, 0.1524000000000001, 0.1440000000000003)","(-13.050138970632572, -15.349737741959954, -15.247022055895332, -14.91098442501951)",-5.738632410126855,2.0662243757944214,11.848576295604843,3.528736370818808
neuron_065,STN,R,SNr,87.18431168999693,2.4662603044499085,0.3162393162393162,"(0.0, 0.1299999999999999, 0.16800000000000004, 0.11599999999999966)","(-12.716964149289486, -14.083426796062003, -12.013705165301417, -10.584485608806876)",11.628086001921476,17.22049657692579,20.10643416778411,9.724850607834032
neuron_066,STN,L,SNr,88.90173462410482,2.556990949880134,0.39090909090909093,"(0.1669999999999996, 0.1839999999999998, 0.14747826086956534, 0.14716666666666695)","(-13.675814143900846, -15.350532887467402, -13.263250477804572, -13.801376832145873)",3.537603315812307,2.7464701794426514,7.3376930109175555,8.560318514330865
neuron_067,STN,R,SNr,98.93705654697916,2.9363113362966686,0.4479166666666667,"(0.0, 0.0, 0.10399999999999965, 0.12880000000000003)","(-12.254075828033638, -15.588442976296605, -12.380553179911836, -13.767540575863173)",-3.2020922398111056,-1.8741849908375836,1.610112756817211,2.7908299002259667
neuron_068,STN,L,SNr,71.48802491676513,2.4680982310234056,0.3642611683848797,"(0.0, 0.1499999999999999, 0.0, 0.14000000000000012)","(-12.245499535371664, -14.119252370575428, -15.701941270403827, -14.623729944928492)",24.948998154793202,37.27550009826799,19.704022919975955,9.769504853883454
